user,n_clusts,clust_est
user,5,4
user,5,4
user,6,4
user,6,3
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,4,4
user,7,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,5,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,5,4
user,4,4
user,3,4
user,6,4
user,6,4
user,6,4
user,6,4
user,5,4
user,6,4
user,6,4
user,6,4
user,5,4
user,6,4
user,5,4
user,6,4
user,6,4
user,5,4
user,4,4
user,6,4
user,7,4
user,5,4
user,4,4
user,6,4
user,6,4
user,7,4
user,5,4
user,4,4
user,3,4
user,2,4
user,5,4
user,6,4
user,6,4
user,6,4
user,7,4
user,5,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,5,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,6,4
user,2,4
user,6,4
user,6,4
user,2,4
user,3,4
user,6,4
user,3,4
user,2,4
user,3,4
user,4,4
user,6,4
user,4,4
user,5,4
user,6,4
user,2,4
user,3,4
user,4,4
user,5,4
user,6,4
user,5,4
user,4,4
user,3,4
user,2,4
user,6,4
user,6,4
user,6,4
user,6,4
user,4,4
user,6,4
user,6,4
user,5,4
user,4,4
user,3,4
user,6,4
user,4,4
user,6,4
user,6,4
user,4,4
user,6,4
user,4,4
user,6,4
user,6,4
user,6,4
user,5,4
user,4,4
user,6,4
user,6,4
